Sim	T_Pmume_brPLUSDIV	T_w4_Pmume	mPmumew4	mw4Pmume	Pmume	T_Pmume_br	w4	S_1	S_2	Pi_1	Pi_2	FST_2_1	PI_2_1	Sx1_1_0	Sx0_1_0	Ss_1_0	Sf_1_0
7	1471769	1066	0.0338278	0.0363622	96	1472835	135	10	9	2.23865	2.1706	0.116272	2.494	2	3	7	0
8	3253	7118	0.0355873	0.0082004	11	10371	919	1357	439	246.299	117.93	0.237913	236.319	55	973	384	0
9	18788	1975	0.0424254	0.0323551	943	20763	64	250	523	58.9903	75.3001	0.051183	70.8561	316	43	207	0
10	8290	1161	0.0256983	0.0205978	746	9451	24	214	809	52.629	93.7272	0.127269	84.2954	642	47	167	0
11	995316	270615	0.0323143	0.0490339	534	1265931	305	24	32	5.95652	6.02783	0.0235856	6.13718	12	4	20	0
12	4937	3179	0.018355	0.0281713	92	8116	656	1150	728	197.921	166.702	0.0514772	192.035	150	572	578	0
13	22285	105098	0.0297082	0.00587459	81	127383	412	150	126	37.3749	33.6267	0.0996547	39.3973	18	42	108	0
14	3970229	8101	0.0430918	0.0320304	25	3978330	871	0	0	0	0	0	0	0	0	0	0
15	23103	22898	0.0409219	0.00962556	196	46001	1448	1104	957	247.108	234.7	0.0304946	248.43	140	287	817	0
16	9906	64413	0.0321615	0.00565651	38	74319	441	237	141	49.8628	38.7453	0.144321	51.6409	17	113	124	0
17	38385	11250	0.0360851	0.0297127	78	49635	85	115	136	29.5952	29.8064	0.0852183	32.4693	44	23	92	0
18	20591	1049	0.0123858	0.010395	10	21640	10	40	29	9.05797	6.49183	0.700541	25.6042	24	35	5	3
19	826808	102179	0.0102801	0.0160727	20	928987	1545	15	4	2.0058	1.11252	0.307342	2.22564	0	11	4	0
20	16640	2389	0.0128996	0.0266578	27	19029	12	60	97	16.5585	25.4374	0.388266	34.6769	55	18	42	0
21	13462	142480	0.0232223	0.0386423	343	155942	10	8	52	2.2029	6.95584	0.159138	5.50975	45	1	7	0
22	12563	9175	0.0250664	0.0193132	246	21738	74	283	466	68.0473	92.8554	0.0941785	89.024	239	56	227	0
23	4773563	4133	0.00655335	0.0270191	2878	4777696	48	5	7	1.43961	1.62674	0.0490167	1.61319	4	2	3	0
24	101251	4135	0.0122933	0.0142641	140	105386	162	116	109	26.8831	27.761	0.106787	30.5967	27	34	82	0
25	21203	18699	0.0102914	0.0435192	261	39902	35	180	288	50.0821	62.6249	0.0985106	62.6207	133	25	155	0
26	1967	1560	0.044409	0.0167719	232	3527	10	140	867	35.6444	101.476	0.19551	86.3126	764	37	103	0
27	1178	2198	0.0438347	0.0353667	308	3376	617	3031	2994	664.892	656.668	0.0171339	672.272	619	656	2375	0
28	18343	32508	0.0249324	0.046016	699	50851	376	710	740	167.919	167.105	0.013427	169.789	153	123	587	0
29	314245	208031	0.0467198	0.0193804	717	522276	2327	228	240	52.5275	53.1881	0.00375041	53.0585	45	33	195	0
30	2827553	4271	0.0454914	0.00645034	2703	2831824	329	7	9	0.847343	1.28615	0.00588857	1.07421	3	1	6	0
31	17136	2882	0.0240006	0.0396997	26	20018	1195	343	107	39.5082	24.4483	0.0970624	35.2864	27	263	80	0
32	2923176	14862	0.0364883	0.0105374	388	2938038	76	2	4	0.209662	0.203267	-0.012537	0.203898	2	0	2	0
33	1021040	69833	0.0147038	0.0429129	911	1090873	180	38	54	9.9256	10.4918	0.0272577	10.497	20	4	34	0
34	11703	2173	0.0280721	0.00384103	56	13876	2380	2093	1162	383.274	280.395	0.100497	367.999	155	1086	1007	0
35	310813	284134	0.0295793	0.00470928	538	594947	582	45	52	8.95072	10.3485	0.0272161	9.92504	18	11	34	0
36	808232	37916	0.0198503	0.0332973	523	846148	40	9	18	3.04541	2.70236	0.111199	3.23013	9	0	9	0
37	1103092	59808	0.0133085	0.0320195	1859	1162900	38	14	29	3.61932	4.48155	0.0668775	4.34633	16	1	13	0
38	292441	30543	0.0148731	0.0428788	337	322984	903	87	83	20.6522	19.3291	0.0250136	20.4985	17	21	66	0
39	2971844	1160	0.0321053	0.0407821	507	2973004	46	1	2	0.0434783	0.0689655	-0.0141882	0.0554723	1	0	1	0
40	1566	104820	0.0386699	0.0407033	119	106386	1974	224	186	42.9739	36.8953	0.0226696	40.8388	32	70	154	0
41	94575	5648	0.00840714	0.0044688	1494	100223	100	83	280	19.7903	37.1476	0.116925	32.413	218	21	62	0
42	1289220	5134	0.0192905	0.021825	295	1294354	10	3	9	0.638647	0.996975	0.00263294	0.82084	7	1	2	0
43	1191	5184	0.0241413	0.03729	26	6375	12	193	266	50.9034	66.0133	0.335221	88.419	124	51	142	0
