Sim	T_Pmume_brPLUSDIV	T_w4_Pmume	Pmume	T_Pmume_br	w4	S_1	S_2	Pi_1	Pi_2	FST_2_1	PI_2_1	Sx1_1_0	Sx0_1_0	Ss_1_0	Sf_1_0
62	3027239	2649	12	3029888	94	0	1	0	0.486993	0.974401	10.6034	1	0	0	10
63	4163	15545	1766	19708	185	194	1694	45.457	358.075	0.939473	3619.65	1694	194	0	3228
64	722535	74431	114	796966	16	0	4	0	0.563218	0.999642	879.328	4	0	0	879
65	4906261	1131	2939	4907392	37	0	25	0	8.20932	0.62573	11.7931	25	0	0	1
66	4249751	29017	393	4278768	38	0	3	0	0.99274	0.993555	86.0172	3	0	0	84
67	2340208	19118	32	2359326	68	1	2	0.0850242	0.92075	0.991805	67.3193	2	1	0	66
68	1341859	1205	77	1343064	11	0	2	0	0.30974	0.985801	12.1724	2	0	0	12
69	81715	3924	1886	85639	206	81	861	17.5372	181.222	0.800031	535.867	861	81	0	337
70	4930	9188	1633	14118	204	260	1965	60.6676	431.064	0.905504	2811.48	1965	260	0	2331
71	513074	5554	104	518628	14	1	9	0.0434783	1.72293	0.989512	93.539	9	1	0	92
72	6624	7792	346	14416	158	289	673	69.5188	147.402	0.966473	3367.3	673	289	0	3152
73	7986	5982	1063	13968	41	59	1730	13.2541	368.215	0.914258	2447.97	1730	59	0	2076
74	49391	11945	22	61336	962	573	10	130.226	2.46945	0.958813	1435.65	10	573	0	1312
75	80830	158162	635	238992	387	50	100	11.9208	15.9601	0.996952	4651.18	100	50	0	4628
76	3854441	30549	174	3884990	104	0	1	0	0.215971	0.998088	63.1207	1	0	0	63
77	418726	2555	17	421281	18	0	0	0	0	1	63	0	0	0	63
78	55457	62751	142	118208	51	14	50	3.47343	9.57108	0.998294	4032.75	50	14	0	4021
79	741300	9146	107	750446	721	40	7	8.91401	2.41198	0.948491	102.884	7	40	0	91
80	2045	151170	16	153215	27	3	4	0.67343	0.54023	0.999906	6377.61	4	3	0	6376
81	3529238	29505	321	3558743	46	0	7	0	1.45977	0.989295	76.1207	7	0	0	75
82	1676	9869	190	11545	118	249	416	56.6609	91.3757	0.985027	5077.8	416	249	0	4936
83	77768	100870	116	178638	105	21	25	3.89275	5.60012	0.99884	4179.8	25	21	0	4170
84	1884378	102544	14	1986922	1689	21	1	4.53333	0.372656	0.995543	495.72	1	21	0	492
85	70712	5199	403	75911	2715	1015	178	215.967	39.5257	0.771919	524.565	178	1015	0	282
86	8149	1068	93	9217	12	50	376	9.0029	79.706	0.951176	989.633	376	50	0	903
87	16446	40988	383	57434	2591	1057	173	244.097	36.4888	0.967247	3922.27	173	1057	0	3655
88	17860	9335	50	27195	11	13	63	3.02995	14.8524	0.99658	2817.35	63	13	0	2801
89	13271	111453	33	124724	17	2	2	0.553623	0.0689655	0.999952	5855.58	2	2	0	5855
90	287773	9100	72	296873	14	1	13	0.231884	3.73019	0.992557	293.628	13	1	0	289
91	255805	3462	133	259267	629	103	16	21.5411	3.14822	0.910283	126.576	16	103	0	104
92	35674	12388	1656	48062	115	59	997	10.9836	216.906	0.93537	1938.8	997	59	0	1727
93	1262	21713	18	22975	967	981	18	223.442	2.79613	0.979687	4942.38	18	981	0	4714
94	54314	4694	1660	59008	14	9	934	2.65024	202.878	0.861083	813.211	934	9	0	606
95	7788	111469	13	119257	1326	298	4	71.8155	0.991531	0.99435	5709.96	4	298	0	5637
96	400538	1591	16	402129	2842	177	2	27.3546	0.0689655	0.630354	34.2954	2	177	0	15
97	2178	214596	2368	216774	879	96	320	24.685	76.5342	0.990954	5929.21	320	96	0	5830
98	15975	4537	10	20512	134	257	22	57.9546	5.03811	0.984496	1833.69	22	257	0	1775
99	7583	263179	1442	270762	537	47	166	9.89952	34.2347	0.996151	6104.53	166	47	0	6063
100	100774	11312	22	112086	29	13	6	2.91111	0.402904	0.998338	908.576	6	13	0	906
1	9467	3228	1198	12695	34	57	2085	13.5159	448.218	0.848752	1670.89	2085	57	0	1217
2	6959	27949	21	34908	80	65	16	15.6715	3.73745	0.998321	5363.21	16	65	0	5342
3	2885457	1399	873	2886856	49	1	8	0.124638	2.28494	0.635396	3.53073	8	1	0	1
4	27503	156011	524	183514	13	0	75	0	12.4646	0.998773	5677.14	75	0	0	5667
5	2845	72381	603	75226	15	2	211	0.457005	47.2989	0.995543	5972.71	211	2	0	5925
6	107552	82948	387	190500	88	17	78	3.943	14.4549	0.997093	3376.13	78	17	0	3356
7	1888162	13099	18	1901261	57	0	1	0	0.215971	0.997959	59.1207	1	0	0	59
8	976985	35953	204	1012938	25	1	6	0.347826	0.937084	0.998108	357.786	6	1	0	357
9	581285	9038	1753	590323	1661	90	109	19.0928	21.8348	0.857057	144.133	109	90	0	104
10	2215187	375451	44	2590638	1883	26	0	5.37391	0	0.998221	1332.78	0	26	0	1327
11	217691	64923	760	282614	36	5	97	0.590338	21.4628	0.993835	1986.53	97	5	0	1967
12	954133	2267	2482	956400	420	20	106	4.52947	22.8058	0.710731	49.9318	105	19	1	21
13	26941	193009	144	219950	1509	193	16	48.3594	2.6219	0.995925	5598.13	16	193	0	5542
14	304127	5117	122	309244	34	4	20	0.871498	5.536	0.978519	161.651	20	4	0	155
15	42877	126009	59	168886	81	19	6	5.89179	0.546279	0.999447	5249.73	6	19	0	5244
16	216702	173524	18	390226	58	4	4	1.18841	1.46461	0.999615	3484.98	4	4	0	3483
17	36386	1151	196	37537	569	503	200	108.804	44.0006	0.747802	291.496	200	503	0	148
18	1062	38447	16	39509	656	428	10	97.1623	1.92075	0.992232	5662.14	10	428	0	5568
19	13123	139304	319	152427	40	7	62	1.78164	13.1875	0.998619	5906.09	62	7	0	5893
20	1401	194247	2180	195648	66	4	299	0.566184	71.4344	0.993356	6041.77	299	4	0	5967
21	3962672	106096	2906	4068768	192	2	23	0.719807	5.37024	0.988274	282.75	23	2	0	277
22	3128235	1605	14	3129840	172	3	0	0.890821	0	0.91695	4.78261	0	3	0	4
23	2807970	4445	84	2812415	12	0	2	0	0.682396	0.977204	16.6897	2	0	0	16
24	3179133	2916	1155	3182049	26	0	15	0	4.33031	0.83335	14.2759	15	0	0	10
25	23211	2919	342	26130	91	106	482	24.5024	110.002	0.929331	1017.99	482	106	0	879
26	2190	47363	578	49553	148	64	324	15.0435	64.6425	0.99256	5744.68	324	64	0	5670
27	1711613	71963	1557	1783576	1417	25	31	4.44444	6.92075	0.984191	368.519	31	25	0	355
28	14978	4347	24	19325	26	51	41	12.4319	9.60738	0.994005	1810.66	41	51	0	1788
29	1346535	213686	2882	1560221	99	2	85	0.365217	18.1349	0.991431	1200.4	85	2	0	1181
30	1843925	8780	151	1852705	138	7	2	2.18647	0.261343	0.977313	49.0652	2	7	0	46
31	261102	291388	16	552490	12	1	1	0.371981	0.0998185	0.999946	4047.29	1	1	0	4047
32	67826	460337	11	528163	210	16	1	4.57585	0.0344828	0.999653	5870.89	1	16	0	5865
33	2534600	4907	77	2539507	118	4	0	0.742029	0	0.974393	12.8261	0	4	0	12
34	91315	111097	27	202412	1406	204	7	52.3768	1.50333	0.993948	3959.93	7	204	0	3908
35	2218291	3375	199	2221666	258	3	7	0.604831	0.638838	0.953107	13.3013	7	3	0	12
36	5187	1167	11	6354	158	766	47	173.991	11.5312	0.936659	1322.79	47	766	0	1137
37	147947	303578	2248	451525	1686	107	148	23.686	31.078	0.993932	4583.43	148	107	0	4525
38	319664	50980	23	370644	105	13	1	3.40386	0.188748	0.998684	1221.69	1	13	0	1218
39	8567	16943	11	25510	2076	1689	14	380.576	3.20569	0.946127	3171.21	14	1689	0	2792
40	2165	2202	54	4367	36	256	372	60.1565	82.0538	0.979495	3529.24	372	256	0	3385
41	790981	393650	70	1184631	56	0	1	0	0.506352	0.999898	2786.53	1	0	0	2786
42	1444	410300	23	411744	1161	80	2	15.2077	0.889292	0.998849	6259.25	2	80	0	6247
43	10536	31827	132	42363	2215	1250	68	280.897	15.0175	0.966509	3965.91	68	1250	0	3660
44	307180	17073	59	324253	146	25	8	5.01739	1.66183	0.993754	503.228	8	25	0	494
45	278331	33868	10	312199	599	65	1	16.83	0.333938	0.991801	929.337	1	65	0	913
46	2061026	4201	38	2065227	46	2	1	0.283092	0.0344828	0.992847	20.1694	1	2	0	20
47	55926	3783	16	59709	336	199	14	46.6193	3.17665	0.959319	551.666	14	199	0	501
48	440501	31836	597	472337	530	42	46	9.24348	9.27223	0.984773	608.111	46	42	0	591
49	2513616	18043	19	2531659	2355	43	0	9.0087	0	0.935502	62.1304	0	43	0	55
50	20107	21382	26	41489	617	458	23	107.561	4.54446	0.986106	3603.88	23	458	0	3496
